date,type,time_ny,note
2024-07-26,PCE,08:30,"Personal Income and Outlays, June 2024"
2024-07-31,FOMC,14:00,"scheduled meeting, statement 14:00"
2024-08-02,NFP,08:30,BLS release archive
2024-08-13,PPI,08:30,BLS release archive
2024-08-14,CPI,08:30,BLS release archive
2024-08-15,retail_sales,08:30,Census MARTS release dates
2024-08-16,opex,09:30,monthly; AM-settled index options settle at the open
2024-08-30,PCE,08:30,"Personal Income and Outlays, July 2024"
2024-09-02,early_close,13:00,exchange holiday: CME Globex-only session
2024-09-06,NFP,08:30,BLS release archive
2024-09-11,CPI,08:30,BLS release archive
2024-09-12,PPI,08:30,BLS release archive
2024-09-17,retail_sales,08:30,Census MARTS release dates
2024-09-18,FOMC,14:00,"scheduled meeting, statement 14:00"
2024-09-20,opex,09:30,quad witching; AM-settled index options settle at the open
