tf,pattern,side,cond,n,pts6,base_pts6,atr6,base_atr6,pts12,base_pts12,atr12,base_atr12,pts24,base_pts24,atr24,base_atr24,held,base_held,excess12,n_2019-2022,excess12_2019-2022,p_2019-2022,n_2023-2026,excess12_2023-2026,p_2023-2026,passes
5m,3bar,bull,overnight,1218,0.603448275862069,0.3299025488806012,-0.04846468745963273,0.012187786632367286,0.8741789819376026,0.4860187630427824,-0.0346036410597392,0.0199526481906931,-1.5402184707050646,1.4050938356326608,-0.02772826684117451,0.045218237852888005,0.4746772591857001,0.16713276019156437,-0.054556289250432294,637,-0.09981344882613936,0.8600516417625443,581,-0.006539906641432286,0.5279236131468708,False
5m,3bar,bull,vwap2s,266,4.328007518796992,0.3710176229006366,-0.04772447782919131,0.012469949636610175,4.193609022556391,0.3403586439935609,-0.032825983749127485,0.010745960510736724,-3.8720657276995305,1.3223968559051567,-0.16783108449445994,0.0349451876073345,0.4788732394366197,0.17090505895479358,-0.04357194425986421,117,-0.03866278909338651,0.5629195229982937,149,-0.05143705354508511,0.6030973911569013,False
5m,double,bear,all,19960,-0.487061623246493,-0.3479740822708469,-0.027064816732308993,-0.016931518533237273,-0.5795966933867736,-0.6122892954395588,-0.03729958365926954,-0.031483484394298364,-1.2850337946572257,-1.435362733897268,-0.0656138174859296,-0.05649167842911774,0.19176054071451562,0.12792344061522085,-0.005816099264971175,9781,-0.01767954356580065,0.7836474464567629,10179,0.005060252528633101,0.40642973388898573,False
5m,double,bear,overnight,5100,-0.7256862745098039,-0.31741487671942686,-0.020451340487317525,-0.01468916836595048,-0.7634803921568627,-0.5681661753962701,-0.004244870404087751,-0.02754866219600333,-1.5129122211445198,-1.415266788531714,0.00046234877011079606,-0.05383227228265449,0.18743937924345297,0.12973939472483306,0.02330379179191558,2491,-0.007020269259895167,0.5625451711659237,2609,0.05202976935698571,0.11042507562359058,False
5m,double,bear,vwap2s,2559,-1.741598280578351,-0.30844181752324557,-0.07140307457183233,-0.01177807965143937,-1.6737983587338805,-0.4184819484352722,-0.10063299877986916,-0.01772814122346565,-0.2415112386417982,-1.3801235081336314,-0.05407844235554602,-0.04550615058299589,0.15351506456241032,0.13557337095847655,-0.0829048575564035,1194,-0.10230846174445529,0.9361456495752645,1365,-0.0692930942524196,0.871057342259059,False
5m,double,bull,all,18811,0.2558742225293711,0.3446598956145579,0.014703790509871077,0.017014495266439948,0.06571952580936687,0.6061996376083718,0.009977017388662746,0.031735055278390704,0.9807004265859365,1.424335227757758,0.03541871311847124,0.05633306897661177,0.230218797302876,0.15934153336351684,-0.02175803788972796,9160,-0.019451430346891053,0.7976363538775157,9651,-0.02403265675204981,0.8632151829338142,False
5m,double,bull,overnight,3802,-0.3774329300368227,0.33544516604027097,-0.025712010596862143,0.015446265324262127,-1.9084692267227774,0.5818268736334333,-0.07785979312259468,0.02821606750269429,-3.4931540745628507,1.4334584155943875,-0.08497757100870698,0.05410858261502186,0.2068624216430221,0.16199829673142635,-0.10607586062528897,1865,-0.10594640841742835,0.9792223997585141,1937,-0.10940887821434565,0.9869432885753938,False
5m,double,bull,vwap2s,1879,-1.0179616817456094,0.2603834870258988,-0.05396187675328851,0.008506240302558808,-0.9144491750931346,0.3097068296511088,-0.07182632914944088,0.010923762857335878,1.4446022727272727,1.3324623744038608,0.0012450785944469315,0.039848743536653894,0.18686868686868688,0.16952076001163757,-0.08275009200677676,869,-0.06796480816231236,0.8025964866276596,1010,-0.09549496846633963,0.9057884354220196,False
1m,engulfing,bear,all,49973,-0.20282452524363156,-0.039552732414973736,-0.012796963627906298,-0.0055464517873408175,-0.22136453684989896,-0.09530250982066575,-0.016732703204372215,-0.012736033798059767,-0.4269329152570344,-0.19250169483294954,-0.032413208193130115,-0.024809124009010027,0.26095387408202,0.1273467426167637,-0.0039966694063124485,23804,-0.0069914932786913925,0.6774488763254468,26169,-0.0004473679833035647,0.5128848545886826,False
1m,engulfing,bear,overnight,12326,-0.10907837092325166,-0.034486146046187216,-0.005193744292365413,-0.004976674162800656,0.13856887879279572,-0.10162694416863688,0.009408200692578984,-0.012692797766828192,0.15737043507195742,-0.19857295305355757,0.020009276305040225,-0.023536887139660234,0.2654521254471342,0.1281503568161937,0.022100998459407176,5806,0.0038372479747910662,0.45083062832127613,6520,0.0394427592812021,0.07954931617013024,False
